Detector	Orientation	Position	Date	Current	MU/min	Bfield	Field_size	Dose1	Dose2	Dose3	Dose_Avg	D_SDOM	Diff_0T	OF	OF_Diff_0T	
EJ-204	perpendicular	Max	2022-09-22 15:23	Reverse	545	1.5	0.5	44.05	44.07	44.07	44.06	0.00012	0.997	0.435	0.941
EJ-204	perpendicular	Max	2022-09-22 15:27	Reverse		1.5	1	72.69	72.76	72.70	72.72	0.00025	1.026	0.718	0.969
EJ-204	perpendicular		2022-09-22 15:28	Reverse		1.5	7	101.32	101.10	101.22	101.21	0.00051	1.059	1.000	1.000
Medscint 197-2	perpendicular	Max	2022-09-23 10:56	Reverse	545	0	0.5	0.00	0.00	0.00	44.61	0.00166	1.000	0.468	1.000
Medscint 197-2	perpendicular	Max	2022-09-23 11:01	Reverse		0	1	0.00	0.00	0.00	71.19	0.00044	1.000	0.747	1.000
Medscint 197-2	perpendicular		2022-09-23 11:04	Reverse		0	7	0.00	0.00	0.00	95.36	0.00111	1.000	1.000	1.000
Medscint 197-2	perpendicular	Max	2022-09-23 11:12	Reverse	545	0.2	0.5	45.41	45.26	45.28	45.32	0.00085	1.016	0.469	1.003
Medscint 197-2	perpendicular	Max	2022-09-23 11:16	Reverse		0.2	1	72.11	72.18	72.25	72.18	0.00046	1.014	0.747	1.001
Medscint 197-2	perpendicular		2022-09-23 11:18	Reverse		0.2	7	96.57	96.57	96.55	96.56	0.00006	1.013	1.000	1.000
Medscint 197-2	perpendicular	Max	2022-09-23 11:22	Reverse	545	0.35	0.5	45.13	45.02	45.29	45.15	0.00142	1.012	0.466	0.995
Medscint 197-2	perpendicular	Max	2022-09-23 11:29	Reverse		0.35	1	72.15	72.10	72.30	72.18	0.00068	1.014	0.744	0.997
Medscint 197-2	perpendicular		2022-09-23 11:31	Reverse		0.35	7	96.99	96.94	96.96	96.96	0.00012	1.017	1.000	1.000
Medscint 197-2	perpendicular	Max	2022-09-23 11:35	Reverse	545	0.5	0.5	45.10	45.01	45.10	45.07	0.00054	1.010	0.464	0.992
Medscint 197-2	perpendicular	Max	2022-09-23 11:39	Reverse		0.5	1	72.31	72.28	72.28	72.29	0.00011	1.016	0.744	0.997
Medscint 197-2	perpendicular		2022-09-23 11:41	Reverse		0.5	7	97.17	97.15	97.17	97.16	0.00006	1.019	1.000	1.000
Medscint 197-2	perpendicular	Max	2022-09-23 11:47	Reverse	545	1	0.5	44.18	44.20	44.17	44.18	0.00016	0.990	0.453	0.969
